timecreated,userid,contextid,contextinstanceid,contextlevel,component,eventname,other
1717497223,3,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717497219,3,44,30,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717497213,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717496995,3,70,32,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717496992,3,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717496986,3,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1717422525,3,82,40,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717422500,3,77,35,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717422365,3,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717422340,3,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1717422284,3,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1717422267,3,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1717169661,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1716465647,10,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1716453250,5,29,15,70,mod_url,\mod_url\event\course_module_viewed,null
1716453246,5,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1716452677,5,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1716451727,3,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1716451705,3,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1716277833,5,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1716203220,3,38,24,70,mod_url,\mod_url\event\course_module_viewed,null
1716203152,3,38,24,70,core,\core\event\course_module_completion_updated,"{""relateduserid"":""3"",""overrideby"":null,""completionstate"":1}"
1716198748,3,25,11,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1716195827,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1716195692,5,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1716195681,5,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1716195442,5,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1716190468,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1716190337,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1715947471,5,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1715947428,5,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1715947423,5,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1715947378,5,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1715947329,5,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1715946529,5,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1715946525,5,41,27,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1715946522,5,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1715946519,5,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1715946512,5,19,5,70,mod_feedback,\mod_feedback\event\response_submitted,"{""cmid"":""5"",""instanceid"":""1"",""anonymous"":""1""}"
1715946505,5,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1715943836,3,19,5,70,mod_feedback,\mod_feedback\event\response_submitted,"{""cmid"":""5"",""instanceid"":""1"",""anonymous"":""1""}"
1715943826,3,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1715943753,3,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1715943751,3,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
