timecreated,userid,relateduserid,contextid,contextinstanceid,contextlevel,component,eventname,other,origin
1715943836,3,3,19,5,70,mod_feedback,"\mod_feedback\event\response_submitted","{""cmid"":""5"",""instanceid"":""1"",""anonymous"":""1""}",web
1715943826,3,,19,5,70,mod_feedback,"\mod_feedback\event\course_module_viewed","{""anonymous"":""1""}",web
1715943755,3,,14,2,50,core,"\core\event\course_viewed",null,web
1715943753,3,,17,3,70,mod_url,"\mod_url\event\course_module_viewed",null,web
1715943752,3,,14,2,50,core,"\core\event\course_viewed",null,web
1715943751,3,,15,1,70,mod_forum,"\mod_forum\event\course_module_viewed",null,web
1715943748,3,,14,2,50,tool_usertours,"\tool_usertours\event\tour_ended","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/course\/view.php?id=2"",""stepid"":4,""stepindex"":0}",web
1715943745,3,,14,2,50,tool_usertours,"\tool_usertours\event\tour_started","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/course\/view.php?id=2""}",web
1715943738,3,3,45,3,30,tool_usertours,"\tool_usertours\event\tour_ended","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/my\/"",""stepid"":9,""stepindex"":0}",web
1715943736,3,3,45,3,30,tool_usertours,"\tool_usertours\event\tour_started","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/my\/""}",web
1715943721,4,,14,2,50,core,"\core\event\course_viewed",null,web
1715943718,4,,41,27,70,mod_quiz,"\mod_quiz\event\course_module_viewed",null,web
1715943712,4,,14,2,50,core,"\core\event\course_viewed",null,web
1715943708,4,,17,3,70,mod_url,"\mod_url\event\course_module_viewed",null,web
1715943702,4,,14,2,50,tool_usertours,"\tool_usertours\event\tour_ended","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/course\/view.php?id=2"",""stepid"":4,""stepindex"":0}",web
1715943698,4,,14,2,50,tool_usertours,"\tool_usertours\event\tour_started","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/course\/view.php?id=2""}",web
1715943689,4,,2,1,50,core,"\core\event\course_viewed",null,web
1715943655,4,,2,1,50,tool_usertours,"\tool_usertours\event\tour_ended","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/?redirect=0"",""stepid"":9,""stepindex"":0}",web
1715943649,4,4,46,4,30,tool_usertours,"\tool_usertours\event\tour_started","{""pageurl"":""http:\/\/150.128.85.223\/moodle\/my\/""}",web
